nama_usaha,laba,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,tahun_berdiri,status_legalitas,marketplace,kapasitas_produksi,aset,omset,biaya_karyawan,jumlah_pelanggan,Cluster_KMeans_cat_a,Cluster_KMeans_cat_b,CrossCluster,klas_laba
UD. Pasha Jayabaya,42189270.0,1.0,22.0,14.0,2008.0,1.0,0.0,889.0,6973000.0,49162270.0,108000000.0,889.0,1,1,11,untung
UD. Baim Prima,22050353.0,1.0,73.0,31.0,2020.0,0.0,4.0,729.0,2957355.0,25007708.0,312000000.0,729.0,0,0,0,untung
UD. Monica Jati,38868481.0,5.0,71.0,33.0,2012.0,0.0,3.0,856.0,3644900.0,42513381.0,312000000.0,856.0,1,0,10,untung
UD. Satria Putra,6421803.0,1.0,20.0,59.0,2022.0,1.0,0.0,601.0,4387432.0,10809235.0,237000000.0,601.0,0,0,0,untung
UD. Laila Dewangga,26693983.0,4.0,74.0,85.0,2010.0,0.0,2.0,655.0,6676191.0,33370174.0,477000000.0,655.0,1,1,11,untung
UD. Ilham Sudarsana Budi,701309.0,4.0,11.0,30.0,2021.0,1.0,0.0,550.0,923069.0,1624378.0,123000000.0,550.0,0,0,0,untung
UD. Qomar Mayang,46233993.0,4.0,48.0,14.0,2017.0,1.0,2.0,945.0,1345293.0,47579286.0,186000000.0,945.0,0,0,0,untung
UD. Khalid Prana,21486947.0,1.0,46.0,19.0,2018.0,0.0,3.0,922.0,3136178.0,24623125.0,195000000.0,922.0,0,0,0,untung
UD. Eddy Saputrautama,33431821.0,4.0,82.0,86.0,2011.0,1.0,3.0,305.0,7989339.0,41421160.0,504000000.0,305.0,1,1,11,untung
UD. Valen Bima,21977718.0,5.0,97.0,30.0,2005.0,1.0,4.0,336.0,3909789.0,25887507.0,381000000.0,336.0,1,0,10,untung
UD. Ghani Kusumatmaja,9268748.0,1.0,61.0,1.0,2007.0,1.0,4.0,619.0,6575265.0,15844013.0,186000000.0,619.0,1,1,11,untung
UD. Marsel Wetan,8475033.0,4.0,37.0,12.0,2002.0,0.0,3.0,118.0,2829285.0,11304318.0,147000000.0,118.0,1,0,10,untung
UD. Zidan Wijaksana,32616744.0,1.0,97.0,95.0,2014.0,1.0,0.0,320.0,7707540.0,40324284.0,576000000.0,320.0,0,1,1,untung
UD. Binar Wangi,-1938215.0,1.0,25.0,53.2,2016.0,1.0,0.0,621.0,7859980.0,5921765.0,120000000.0,621.0,0,1,1,rugi
UD. Damar Baskara,18485782.0,1.0,39.0,14.0,2021.0,1.0,4.0,803.0,9922267.0,28408049.0,159000000.0,803.0,0,1,1,untung
UD. Anisa Mega,6650524.0,4.0,15.0,24.0,2013.0,0.0,0.0,35.0,9859370.0,16509894.0,117000000.0,35.0,0,1,1,untung
UD. Nando Kusumah Jaya,20698479.0,2.0,18.0,75.0,2008.0,0.0,0.0,404.0,9045096.0,29743575.0,279000000.0,404.0,1,1,11,untung
UD. Alvino Bersemi,29281438.0,4.0,49.0,27.0,2010.0,1.0,0.0,255.0,6943546.0,36224984.0,228000000.0,255.0,1,1,11,untung
UD. Viera Jati,22606448.0,5.0,55.0,11.0,2002.0,1.0,0.0,290.0,7315869.0,29922317.0,198000000.0,290.0,1,1,11,untung
UD. Pardi Harapan,29757259.0,5.0,28.0,84.0,2008.0,0.0,2.0,877.0,3874803.0,33632062.0,336000000.0,877.0,1,0,10,untung
UD. Vita Wibawa,21395586.0,5.0,37.0,75.0,2002.0,0.0,4.0,179.0,562394.0,21957980.0,336000000.0,179.0,1,0,10,untung
UD. Fikra Bangun,-3896343.0,4.0,60.0,53.0,2017.0,1.0,3.0,185.0,6355353.0,2459010.0,339000000.0,185.0,0,1,1,rugi
UD. Agus Galuh,43352319.0,4.0,35.0,57.0,2018.0,0.0,3.0,523.0,3310247.0,46662566.0,276000000.0,523.0,0,0,0,untung
UD. Vera Satya,43927077.0,4.0,84.0,15.0,2003.0,0.0,2.0,626.0,5201258.0,49128335.0,297000000.0,626.0,1,0,10,untung
UD. Rian Sumringah,6634803.0,4.0,9.0,61.0,2005.0,0.0,4.0,613.0,2466529.0,9101332.0,210000000.0,613.0,1,0,10,untung
UD. Erlangga Kusen,8829048.0,1.0,46.0,73.0,2008.0,0.0,2.0,266.0,2665756.0,11494804.0,357000000.0,266.0,1,0,10,untung
UD. Tari Malam,25649368.0,5.0,86.0,9.0,2011.0,0.0,4.0,143.0,9688509.0,35337877.0,285000000.0,143.0,1,1,11,untung
UD. Xenia Kencana Joko,41308555.0,4.0,43.0,65.0,2001.0,1.0,2.0,512.0,5988875.0,47297430.0,324000000.0,512.0,1,1,11,untung
UD. Anisa Wibawa Kiki,22939654.0,4.0,61.0,90.0,2008.0,0.0,0.0,49.0,3308010.0,26247664.0,453000000.0,49.0,1,0,10,untung
UD. Binar Jayawarsa,18405840.0,2.0,6.0,51.0,2024.0,0.0,2.0,301.0,8240111.0,26645951.0,171000000.0,301.0,0,1,1,untung
UD. Vera Pusaka,8191184.0,5.0,68.0,29.0,2009.0,1.0,2.0,266.0,1966136.0,10157320.0,291000000.0,266.0,1,0,10,untung
UD. Farid Harapan,39041863.0,5.0,18.0,96.0,2023.0,0.0,1.0,506.0,4500074.0,43541937.0,342000000.0,506.0,0,0,0,untung
UD. Zainab Saprahan Ujang,2171853.0,4.0,32.0,15.0,2011.0,0.0,4.0,536.0,8669792.0,10841645.0,141000000.0,536.0,1,1,11,untung
UD. Yani Atma,12661791.0,5.0,23.0,9.0,2021.0,0.0,0.0,202.0,6797312.0,19459103.0,96000000.0,202.0,0,1,1,untung
UD. Yola Mega,33831888.0,2.0,22.0,14.0,2004.0,1.0,2.0,860.0,4946835.0,38778723.0,108000000.0,860.0,1,0,10,untung
UD. Winda Mandiri,3368134.0,2.0,85.0,25.0,2001.0,1.0,0.0,34.0,9382504.0,12750638.0,330000000.0,34.0,1,1,11,untung
UD. Kinan Panembahan,4269033.0,5.0,99.0,60.0,2020.0,0.0,4.0,599.0,7550522.0,11819555.0,477000000.0,599.0,0,1,1,untung
UD. Lina Rejo,42175229.0,4.0,52.0,14.0,2011.0,1.0,3.0,863.0,1018951.0,43194180.0,198000000.0,863.0,1,0,10,untung
UD. Indira Wijaya Ina,28787566.0,4.0,20.0,5.0,2006.0,0.0,1.0,352.0,1597355.0,30384921.0,75000000.0,352.0,1,0,10,untung
UD. Oki Panuluh,21110384.0,1.0,81.0,80.0,2017.0,0.0,1.0,455.0,4699623.0,25810007.0,483000000.0,455.0,0,0,0,untung
UD. Rangga Utamajaya,20359885.0,1.0,90.0,0.0,2001.0,1.0,4.0,80.0,4278043.0,24637928.0,270000000.0,80.0,1,0,10,untung
UD. Hesti Manggala,20849654.0,5.0,36.0,86.0,2021.0,0.0,1.0,811.0,3502004.0,24351658.0,366000000.0,811.0,0,0,0,untung
UD. Nina Wirawati,14757211.0,5.0,48.0,97.0,2005.0,0.0,3.0,276.0,9448434.0,24205645.0,435000000.0,276.0,1,1,11,untung
UD. Gilang Persada,25207385.0,2.0,24.0,34.0,2000.0,1.0,0.0,345.0,4782785.0,29990170.0,174000000.0,345.0,1,0,10,untung
UD. Ojan Langit,38560648.0,4.0,38.0,88.0,2018.0,1.0,2.0,303.0,9798851.0,48359499.0,378000000.0,303.0,0,1,1,untung
UD. Sella Utama,14252717.0,1.0,29.0,0.0,2017.0,0.0,4.0,402.0,3972580.0,18225297.0,87000000.0,402.0,0,0,0,untung
UD. Gadis Prabawa,30589308.0,5.0,42.0,88.0,2015.0,0.0,4.0,13.0,8710476.0,39299784.0,390000000.0,13.0,0,1,1,untung
UD. Khayla Bahagia,38973776.0,2.0,77.0,37.0,2005.0,1.0,1.0,950.0,6262577.0,45236353.0,342000000.0,950.0,1,1,11,untung
UD. Gracia Sakti,43819492.0,1.0,97.0,79.0,2016.0,1.0,2.0,577.0,4888142.0,48707634.0,528000000.0,577.0,0,0,0,untung
UD. Daffa Saputranegara,40866757.0,4.0,53.0,40.0,2003.0,1.0,1.0,113.0,8736544.0,49603301.0,279000000.0,113.0,1,1,11,untung
UD. Pasha Bagaskara,48087945.0,5.0,31.0,11.0,2019.0,1.0,1.0,812.0,608515.0,48696460.0,126000000.0,812.0,0,0,0,untung
UD. Ulya Putra,5825250.0,5.0,94.0,63.0,2016.0,1.0,0.0,160.0,9000972.0,14826222.0,471000000.0,160.0,0,1,1,untung
UD. Valen Nirbayu,14063059.0,4.0,48.0,9.0,2023.0,0.0,0.0,801.0,3266884.0,17329943.0,171000000.0,801.0,0,0,0,untung
UD. Arman Prima,21370691.0,1.0,1.0,26.0,2011.0,1.0,1.0,383.0,9588350.0,30959041.0,81000000.0,383.0,1,1,11,untung
UD. Daffa Ceria,18370262.0,5.0,46.0,38.0,2010.0,1.0,3.0,13.0,8726758.0,27097020.0,252000000.0,13.0,1,1,11,untung
UD. Yasir Sangga Vina,4527265.0,2.0,98.0,70.0,2006.0,1.0,4.0,999.0,600983.0,5128248.0,504000000.0,999.0,1,0,10,untung
UD. Ziva Permai,11222109.0,5.0,63.0,69.0,2008.0,1.0,3.0,433.0,7591240.0,18813349.0,273000000.0,433.0,1,1,11,untung
UD. Qais Cerah,45723874.0,5.0,5.0,44.0,2010.0,1.0,4.0,775.0,1557067.0,47280941.0,147000000.0,775.0,1,0,10,untung
UD. Vincent Mega,45257878.0,5.0,84.0,10.0,2015.0,0.0,2.0,105.0,4168344.0,49426222.0,282000000.0,105.0,0,0,0,untung
UD. Nara Dwijaputra,33311267.0,5.0,89.0,23.0,2009.0,0.0,2.0,189.0,4309166.0,37620433.0,336000000.0,189.0,1,0,10,untung
UD. Echa Jayabaya,18393883.0,4.0,93.0,56.0,2014.0,0.0,3.0,239.0,1528976.0,19922859.0,447000000.0,239.0,0,0,0,untung
UD. Baim Setia Chika,9422307.0,1.0,40.0,39.0,2018.0,1.0,1.0,363.0,4856990.0,14279297.0,237000000.0,363.0,0,0,0,untung
UD. Jaya Adiwarna,23577943.0,4.0,41.0,88.0,2006.0,1.0,1.0,581.0,3071682.0,26649625.0,387000000.0,581.0,1,0,10,untung
UD. Yani Wening Tono,2507023.0,2.0,93.0,36.0,2003.0,0.0,2.0,683.0,9528688.0,12035711.0,387000000.0,683.0,1,1,11,untung
UD. Vega Lintang,7765981.0,5.0,52.0,2.0,2018.0,1.0,1.0,936.0,7391546.0,15157527.0,162000000.0,936.0,0,1,1,untung
UD. Gema Gita,36559611.0,4.0,71.0,67.0,2010.0,0.0,0.0,296.0,7558452.0,44118063.0,414000000.0,296.0,1,1,11,untung
UD. Raka Panuluh,28281491.0,1.0,38.0,67.0,2011.0,0.0,2.0,425.0,1456711.0,29738202.0,315000000.0,425.0,1,0,10,untung
UD. Deni Tirtayasa,20836285.0,5.0,96.0,0.0,2002.0,1.0,4.0,45.0,7867513.0,28703798.0,288000000.0,45.0,1,1,11,untung
UD. Uchie Manik Bayu,29819728.0,2.0,9.0,93.0,2003.0,0.0,4.0,607.0,1999908.0,31819636.0,306000000.0,607.0,1,0,10,untung
UD. Iqra Sakti Livia,26361267.0,2.0,81.0,78.0,2017.0,0.0,1.0,924.0,6502528.0,32863795.0,477000000.0,924.0,0,1,1,untung
UD. Ojan Panembahan Cici,1996773.0,2.0,99.0,44.0,2014.0,0.0,4.0,438.0,6692048.0,8688821.0,429000000.0,438.0,0,1,1,untung
UD. Viani Jayawarsa,-6188936.0,2.0,49.0,30.0,2022.0,1.0,4.0,556.0,9371620.0,3182684.0,237000000.0,556.0,0,1,1,rugi
UD. Dewi Darma,-4725314.0,5.0,74.0,36.0,2000.0,0.0,3.0,943.0,8082427.0,3357113.0,330000000.0,943.0,1,1,11,rugi
UD. Halim Asri Yoga,37995143.0,1.0,7.0,68.0,2021.0,1.0,3.0,691.0,6839079.0,44834222.0,225000000.0,691.0,0,1,1,untung
UD. Zara Baswara,30137992.0,5.0,0.0,42.0,2021.0,1.0,4.0,453.0,1688726.0,31826718.0,126000000.0,453.0,0,0,0,untung
UD. Alma Resmi,25236576.0,5.0,71.0,84.0,2018.0,1.0,2.0,536.0,4606657.0,29843233.0,465000000.0,536.0,0,0,0,untung
UD. Ujang Senopati Winda,11097558.0,2.0,68.0,98.0,2001.0,1.0,4.0,65.0,9824916.0,20922474.0,498000000.0,65.0,1,1,11,untung
UD. Kevin Anggara,-1766703.0,5.0,0.0,3.0,2024.0,1.0,0.0,751.0,9551243.0,7784540.0,9000000.0,751.0,0,1,1,rugi
UD. Teguh Brawijaya,23537060.0,1.0,66.0,70.0,2017.0,1.0,2.0,965.0,8111889.0,31648949.0,408000000.0,965.0,0,1,1,untung
UD. Novi Maheswara,-3335273.0,1.0,26.0,28.0,2015.0,0.0,0.0,657.0,7871119.0,4535846.0,162000000.0,657.0,0,1,1,rugi
UD. Gerry Dharma,40435871.0,1.0,60.0,99.0,2016.0,1.0,0.0,749.0,9050049.0,49485920.0,477000000.0,749.0,0,1,1,untung
UD. Muthia Mulya,38645967.0,5.0,47.0,98.0,2018.0,0.0,1.0,366.0,6205209.0,44851176.0,435000000.0,366.0,0,1,1,untung
UD. Bayu Trisudira,-3219410.0,2.0,22.0,95.0,2019.0,1.0,3.0,743.0,7596930.0,4377520.0,351000000.0,743.0,0,1,1,rugi
UD. Jay Sahaja,23248711.0,5.0,43.0,10.0,2022.0,1.0,1.0,252.0,4627321.0,27876032.0,159000000.0,252.0,0,0,0,untung
UD. Vera Cinta,6122526.0,2.0,39.0,32.0,2009.0,1.0,0.0,32.0,2253756.0,8376282.0,213000000.0,32.0,1,0,10,untung
UD. Fira Adyatma,32682103.0,5.0,10.0,52.0,2010.0,1.0,1.0,244.0,8913019.0,41595122.0,186000000.0,244.0,1,1,11,untung
UD. Teguh Kencana,-4756892.0,5.0,10.0,16.0,2003.0,0.0,1.0,336.0,6135385.0,1378493.0,78000000.0,336.0,1,1,11,rugi
UD. Hesti Buana,46193653.0,1.0,99.0,11.0,2014.0,1.0,2.0,159.0,3570624.0,49764277.0,330000000.0,159.0,0,0,0,untung
UD. Daffa Elok,-125576.0,5.0,30.0,0.0,2006.0,1.0,1.0,557.0,5254417.0,5128841.0,90000000.0,557.0,1,1,11,rugi
UD. Vita Madani Celsi,20587664.0,4.0,59.0,55.0,2013.0,0.0,2.0,176.0,6359033.0,26946697.0,347400000.0,176.0,0,1,1,untung
UD. Najwa Ayodya,-3743617.0,2.0,54.0,22.0,2024.0,1.0,1.0,101.0,9452097.0,5708480.0,228000000.0,101.0,0,1,1,rugi
UD. Utami Wangi,9151897.0,1.0,23.0,6.0,2013.0,0.0,1.0,981.0,4040086.0,13191983.0,87000000.0,981.0,0,0,0,untung
UD. Tasya Anggara,19906374.0,4.0,61.0,77.0,2024.0,0.0,0.0,972.0,6180758.0,26087132.0,414000000.0,972.0,0,1,1,untung
UD. Andi Pelangi Gani,22769848.0,2.0,18.0,40.0,2013.0,1.0,0.0,374.0,1786192.0,24556040.0,174000000.0,374.0,0,0,0,untung
UD. Vita Setia,-4225540.0,2.0,95.0,52.0,2011.0,0.0,4.0,47.0,5266219.0,1040679.0,441000000.0,47.0,1,1,11,rugi
UD. Barokah Panuluh Marwan,31515723.0,4.0,39.0,6.0,2024.0,0.0,4.0,821.0,4954653.0,36470376.0,135000000.0,821.0,0,0,0,untung
UD. Umar Berkarya,19054944.0,5.0,16.0,77.0,2019.0,0.0,2.0,429.0,2322359.0,21377303.0,279000000.0,429.0,0,0,0,untung
UD. Taufik Jayaningrat,-4058815.0,1.0,49.0,97.0,2021.0,1.0,1.4,158.0,8495703.0,4436888.0,438000000.0,158.0,0,1,1,rugi
UD. Zera Reswara,10771070.0,4.0,98.0,65.0,2000.0,1.0,4.0,287.0,6542264.0,17313334.0,489000000.0,287.0,1,1,11,untung
UD. Mario Adyatma,34726424.0,2.0,11.0,83.0,2004.0,0.0,1.0,389.4,3329761.0,38056185.0,282000000.0,416.0,1,0,10,untung
UD. Wulan Gandewa,4206060.0,2.0,14.0,80.0,2018.0,1.0,0.0,263.0,5834656.0,10040716.0,282000000.0,263.0,0,1,1,untung
UD. Tania Pusaka,10293375.0,5.0,38.0,73.0,2021.0,1.0,1.0,912.0,1044969.0,11338344.0,333000000.0,912.0,0,0,0,untung
UD. Tania Binasena Sinta,21325889.0,4.0,12.0,52.0,2021.0,0.0,1.0,272.0,1071041.0,22396930.0,192000000.0,272.0,0,0,0,untung
UD. Yora Asmaralaya,41089361.0,4.0,93.0,4.0,2005.0,1.0,2.0,542.0,8310436.0,49399797.0,291000000.0,542.0,1,1,11,untung
UD. Ida Tunggul,48063064.0,2.0,18.0,96.0,2024.0,0.0,0.0,181.0,893677.0,48956741.0,342000000.0,181.0,0,0,0,untung
UD. Fani Ananta,23993831.0,4.0,72.0,35.0,2012.0,1.0,1.0,855.0,1238309.0,25232140.0,321000000.0,855.0,1,0,10,untung
UD. Berlian Sakti,27407313.0,1.0,56.0,43.0,2013.0,0.0,2.0,819.0,5782634.0,33189947.0,297000000.0,819.0,0,1,1,untung
UD. Umi Satria,21949462.0,4.0,91.0,10.0,2015.0,0.0,3.0,144.0,1456454.0,23405916.0,303000000.0,144.0,0,0,0,untung
UD. Pio Madya,5423409.0,5.0,59.0,63.0,2005.0,0.0,3.0,590.0,1580250.0,7003659.0,366000000.0,590.0,1,0,10,untung
UD. Amir Mandala Sani,44080582.0,1.0,55.0,20.0,2000.0,0.0,1.0,878.0,2551796.0,46632378.0,225000000.0,878.0,1,0,10,untung
UD. Daffa Luhur Galang,-1502910.0,4.0,24.0,3.0,2005.0,1.0,1.0,156.0,6786487.0,5283577.0,81000000.0,156.0,1,1,11,rugi
UD. Ilmi Pagi,31590400.0,5.0,3.0,88.0,2001.0,0.0,3.0,610.0,4279702.0,35870102.0,296400000.0,610.0,1,0,10,untung
UD. Qyla Bagaskara,27129673.0,4.0,51.0,34.0,2004.0,1.0,4.0,917.0,3909497.0,31039170.0,255000000.0,917.0,1,0,10,untung
UD. Olla Kayastha,38928722.0,5.0,6.0,34.0,2002.0,1.0,2.0,18.0,2571305.0,41500027.0,120000000.0,18.0,1,0,10,untung
UD. Muthia Wijaya,-226282.0,2.0,67.0,34.0,2014.0,0.0,1.0,394.0,6950327.0,6724045.0,303000000.0,394.0,0,1,1,rugi
UD. Iqbal Wirawati Vito,-3756988.0,5.0,86.0,38.0,2009.0,1.0,3.0,573.0,7936093.0,4179105.0,372000000.0,573.0,1,1,11,rugi
UD. Hendra Resaputra Galih,7127490.0,1.0,69.0,32.0,2017.0,0.0,3.0,692.0,4413319.0,11540809.0,303000000.0,692.0,0,0,0,untung
UD. Qori Manggala,38924912.0,2.0,44.0,76.0,2017.0,1.0,3.0,870.0,9435091.0,48360003.0,360000000.0,870.0,0,1,1,untung
UD. Silvi Gita,32770007.0,5.0,8.0,67.0,2011.0,0.0,3.0,244.0,3721871.0,36491878.0,225000000.0,244.0,1,0,10,untung
UD. Kanza Madani,-4807630.0,2.0,8.0,43.0,2005.0,1.0,3.0,348.0,9062526.0,4254896.0,153000000.0,348.0,1,1,11,rugi
UD. Kiki Suci,15753168.0,4.0,84.0,50.0,2000.0,0.0,3.0,280.0,8680593.0,24433761.0,402000000.0,280.0,1,1,11,untung
UD. Kevin Nirbayu,-5759748.0,2.0,2.0,37.0,2004.0,0.0,1.0,621.0,7617051.0,1857303.0,117000000.0,621.0,1,1,11,rugi
UD. Nisa Wirajaya,3904870.0,1.0,76.0,41.0,2019.0,1.0,2.0,603.0,4746577.0,8651447.0,351000000.0,603.0,0,0,0,untung
UD. Laras Kusuma,32649827.0,1.0,62.0,44.0,2016.0,1.0,3.0,200.0,1216757.0,33866584.0,318000000.0,200.0,0,0,0,untung
UD. Fatimah Asri,1694548.0,1.0,81.0,29.0,2009.0,1.0,3.0,415.0,8155130.0,9849678.0,330000000.0,415.0,1,1,11,untung
UD. Gani Saprahan,26230918.0,1.0,94.0,90.0,2008.0,1.0,3.0,799.0,3522757.0,29753675.0,552000000.0,799.0,1,0,10,untung
UD. Gracia Dharma,22194780.0,5.0,92.0,34.0,2019.0,0.0,3.0,999.0,2137188.0,24331968.0,378000000.0,999.0,0,0,0,untung
UD. Yusuf Malam Zainab,42240720.0,1.0,1.0,27.0,2013.0,1.0,3.0,720.0,7342311.0,49583031.0,84000000.0,720.0,0,1,1,untung
UD. Aqila Sarwono,10681158.0,5.0,30.0,40.0,2017.0,0.0,0.0,582.0,4387458.0,15068616.0,210000000.0,582.0,0,0,0,untung
UD. Jasmin Kayastha,5773931.0,1.0,37.0,44.0,2022.0,1.0,0.0,199.0,4176143.0,14391401.2,243000000.0,199.0,0,0,0,untung
UD. Habib Sakti,-6306051.0,1.0,6.0,47.0,2014.0,1.0,3.0,783.0,7955408.0,1649357.0,159000000.0,783.0,0,1,1,rugi
UD. Bella Wirajaya,21319072.0,5.0,9.0,54.0,2010.0,0.0,3.0,534.0,2107541.0,23426613.0,189000000.0,534.0,1,0,10,untung
UD. Winda Kayastha,29166588.0,5.0,76.0,7.0,2000.0,1.0,4.0,705.0,4057371.0,33223959.0,249000000.0,705.0,1,0,10,untung
UD. Guntur Wijaya Widya,10196054.0,2.0,58.0,25.0,2015.0,0.0,4.0,509.0,5976033.0,16172087.0,249000000.0,509.0,0,1,1,untung
UD. Icha Taruna,30293712.0,4.0,0.0,97.0,2010.0,1.0,2.0,471.0,3126180.0,33419892.0,291000000.0,471.0,1,0,10,untung
UD. Ucup Ratu Ujang,21110418.0,1.0,36.0,28.0,2001.0,0.0,0.0,971.0,2798753.0,23909171.0,192000000.0,971.0,1,0,10,untung
UD. Sekar Jati,15178219.0,5.0,24.0,54.0,2012.0,1.0,1.0,243.0,2841278.0,18019497.0,234000000.0,243.0,0,0,0,untung
UD. Ina Ananta,19332332.0,1.0,93.0,65.0,2002.0,0.0,2.0,985.0,8153598.0,27485930.0,474000000.0,985.0,1,1,11,untung
UD. Rizki Jatinagara,35512424.0,5.0,65.0,69.0,2019.0,0.0,2.0,816.0,7466601.0,42979025.0,402000000.0,816.0,0,1,1,untung
UD. Kiki Wijaksana,34151929.0,1.0,99.0,47.0,2001.0,0.0,3.0,375.0,8481170.0,42633099.0,438000000.0,375.0,1,1,11,untung
UD. Yusuf Mardika,24038090.0,5.0,87.0,48.8,2022.0,1.0,3.0,426.0,6302424.0,30340514.0,498000000.0,426.0,0,1,1,untung
UD. Naufal Ayodya Livia,20375083.0,2.0,75.0,6.0,2023.0,1.0,1.0,394.0,8506343.0,29103019.0,243000000.0,394.0,0,1,1,untung
UD. Ovan Wirawati,43705523.0,2.0,4.0,74.0,2021.0,0.0,4.0,871.0,5912706.0,49618229.0,234000000.0,871.0,0,1,1,untung
UD. Diva Saputra,6151417.0,1.0,55.0,79.0,2000.0,0.0,3.0,212.0,1515101.0,7666518.0,402000000.0,212.0,1,0,10,untung
UD. Irma Kalbu,8457847.0,2.0,78.0,5.0,2012.0,0.0,0.0,535.0,4404254.0,12862101.0,249000000.0,535.0,1,0,10,untung
UD. Fira Gandewa,10170727.0,4.0,41.0,36.0,2004.0,1.0,1.0,942.0,9386659.0,19557386.0,231000000.0,942.0,1,1,11,untung
UD. Qila Nirbayu,2491536.0,5.0,63.0,8.0,2020.0,0.0,1.0,558.0,9577693.0,12069229.0,213000000.0,558.0,0,1,1,untung
UD. Livia Haji,7787146.0,4.0,48.0,2.0,2020.0,0.0,3.0,510.0,9598054.0,17385200.0,150000000.0,510.0,0,1,1,untung
UD. Anis Sangga,33503400.0,2.0,45.0,52.0,2011.0,0.0,1.0,535.0,7029940.0,40533340.0,291000000.0,535.0,1,1,11,untung
UD. Qisha Resaputra,6293324.0,4.0,70.0,92.0,2007.0,0.0,4.0,121.0,1733580.0,8026904.0,486000000.0,121.0,1,0,10,untung
UD. Jordi Bintang,7009065.0,2.0,1.0,7.0,2004.0,0.0,3.0,159.0,5396846.0,12405911.0,24000000.0,159.0,1,1,11,untung
UD. Abdi Artha,15307129.0,1.0,66.0,39.0,2019.0,1.0,4.0,296.0,4702977.0,20010106.0,315000000.0,296.0,0,0,0,untung
UD. Alya Utamaindah,13882303.0,4.0,3.0,16.0,2007.0,0.0,4.0,603.0,7486389.0,21368692.0,57000000.0,603.0,1,1,11,untung
UD. Ujang Hastinapura Ujang,26742110.0,2.0,61.0,69.0,2003.0,1.0,0.0,339.0,6578725.0,33320835.0,390000000.0,339.0,1,1,11,untung
UD. Bayu Bersemi Jibril,9986884.0,2.0,79.0,46.0,2012.0,1.0,3.0,161.0,2592864.0,12579748.0,375000000.0,161.0,0,0,0,untung
UD. Gracia Sukma,39972236.0,2.0,26.0,10.0,2021.0,0.0,0.0,801.0,9255794.0,49228030.0,108000000.0,801.0,0,1,1,untung
UD. Rangga Nirmala,-4849741.0,2.0,85.0,9.0,2019.0,0.0,0.0,681.0,6973609.0,2123868.0,282000000.0,681.0,0,1,1,rugi
UD. Dani Satriya,41843377.0,5.0,66.0,60.0,2016.0,0.0,1.0,366.0,7458541.0,49301918.0,378000000.0,366.0,0,1,1,untung
UD. Farid Jayengpati,31014615.0,1.0,16.0,1.0,2003.0,0.0,2.0,703.0,7963585.0,38978200.0,51000000.0,703.0,1,1,11,untung
UD. Ulil Jayengprana,22745244.0,2.0,85.0,28.0,2006.0,1.0,3.0,43.0,5608126.8,28700644.0,339000000.0,43.0,1,1,11,untung
UD. Bella Swargaloka,42288056.0,5.0,51.0,69.0,2000.0,1.0,4.0,638.0,7501510.0,49789566.0,360000000.0,638.0,1,1,11,untung
UD. Damar Bersemi,49373.0,5.0,70.0,50.0,2015.0,1.0,1.0,385.0,8270937.0,8320310.0,360000000.0,385.0,0,1,1,untung
UD. Qory Cahaya,38643182.0,1.0,56.0,72.0,2009.0,1.0,0.0,851.0,2334210.0,40977392.0,384000000.0,851.0,1,0,10,untung
UD. Dewi Arya,15807455.0,2.0,29.0,65.0,2007.0,0.0,0.0,951.0,4813494.0,20620949.0,282000000.0,951.0,1,0,10,untung
UD. Yana Resmi,18927139.0,5.0,71.0,67.0,2016.0,1.0,3.0,983.0,2050809.0,20977948.0,414000000.0,983.0,0,0,0,untung
UD. Umi Suryaputra,27436118.0,5.0,82.0,56.0,2001.0,1.0,1.0,480.0,5543373.0,32979491.0,414000000.0,480.0,1,1,11,untung
UD. Fira Jaya,39836195.0,1.0,70.0,40.0,2011.0,1.0,4.0,809.0,3561359.0,43397554.0,330000000.0,809.0,1,0,10,untung
UD. Dora Kayastha Bagir,47439846.0,2.0,64.0,93.0,2022.0,0.0,0.0,965.0,694950.0,48134796.0,471000000.0,965.0,0,0,0,untung
UD. Bulan Radhitya,13455205.0,4.0,15.0,63.0,2019.0,0.0,1.0,312.0,6170973.0,19626178.0,234000000.0,312.0,0,1,1,untung
UD. Deni Galuh,-5845113.0,4.0,94.0,3.0,2018.0,0.0,4.0,648.0,7600422.0,1755309.0,291000000.0,648.0,0,1,1,rugi
UD. Yana Bratadikara,29119033.0,5.0,26.0,0.0,2020.0,1.0,1.0,514.0,6535580.0,35654613.0,78000000.0,514.0,0,1,1,untung
UD. Ulya Nirbayu,26077939.0,4.0,73.0,74.0,2020.0,0.0,0.0,725.0,3311805.0,29389744.0,441000000.0,725.0,0,0,0,untung
UD. Kevin Nusa,-3513343.0,4.0,97.0,6.0,2002.0,0.0,0.0,562.0,6567731.0,3054388.0,309000000.0,562.0,1,1,11,rugi
UD. Veronika Surya,46588910.0,1.0,46.0,81.0,2000.0,0.0,4.0,353.0,2595957.0,49184867.0,381000000.0,353.0,1,0,10,untung
UD. Prita Tirta,2068852.0,2.0,13.0,7.0,2019.0,0.0,1.0,43.0,4102741.0,6171593.0,60000000.0,43.0,0,0,0,untung
